Actual;Prediction;Prediction Probability;SHAP Supporting Fidelity;SHAP Contrary Fidelity;LIME Supporting Fidelity;LIME Contrary Fidelity
0;0;0.999915302;0.999814924;0.005001879;0.999968884;0.665939498
0;0;0.928168476;0.961157232;0.069329363;0.518561319;0.247505289
0;0;0.863698363;0.939868847;0.015679785;0.702042062;0.621781988
0;0;0.919849634;0.941039886;0.290027057;0.920219321;0.779146868
0;0;0.99983573;0.994640084;0.019545225;0.999539818;0.463054101
0;0;0.996963024;0.98882213;0.012550585;0.997251771;0.804230186
0;0;0.984326601;0.948903372;0.198432966;0.802131388;0.080074826
0;0;0.999707043;0.999526308;0.009198708;0.99986123;0.912184822
1;0;0.879093766;0.811912152;0.523001088;0.981040144;0.633370735
0;0;0.99919939;0.969348531;0.084317133;0.996820927;0.594107947
0;0;0.997547865;0.941668812;0.132361827;0.998244774;0.22006548
0;0;0.997648478;0.923886267;0.088220159;0.933977973;0.348818032
0;0;0.999113083;0.998040231;0.044157354;0.999663537;0.415222216
0;0;0.999620795;0.97471985;0.111884428;0.999756685;0.368397596
0;0;0.998613894;0.989078809;0.08090836;0.997519363;0.210619501
0;0;0.992572665;0.975611805;0.00803852;0.869478092;0.538906133
0;0;0.999040604;0.96010939;0.058164735;0.997977731;0.689501525
0;0;0.999864221;0.999428266;0.001997241;0.999505298;0.716990966
1;0;0.99994272;0.997703427;0.056667975;0.806252099;0.028627736
1;0;0.914848566;0.983365675;0.356990984;0.846230415;0.910973624
0;0;0.993876994;0.97604338;0.103154298;0.973634388;0.590256565
1;0;0.880912185;0.585213875;0.556771742;0.388254901;0.428328757
0;0;0.997897327;0.994477826;0.012281743;0.997263208;0.689126373
0;0;0.986481726;0.992445647;0.087626771;0.92963158;0.494799037
0;0;0.999079287;0.941083814;0.166460646;0.998921564;0.95557695
1;0;0.995844364;0.982019101;0.147230752;0.346913601;0.124502397
1;0;0.521855831;0.423931446;0.424934051;0.159193461;0.77922403
0;0;0.999949336;0.999597213;0.001389854;0.999295706;0.269554515
1;0;0.999199331;0.999113172;0.007794034;0.994377307;0.455063448
0;0;0.8019557;0.436057153;0.312705751;0.48123198;0.612315074
0;0;0.99904269;0.980054919;0.083058315;0.942842668;0.936690938
0;0;0.999889851;0.99961239;0.034657892;0.999916127;0.606715292
0;0;0.997901857;0.983090375;0.056749017;0.984642954;0.046781872
1;0;0.915269613;0.978752163;0.276025445;0.847994741;0.437775315
0;0;0.923799157;0.953611723;0.66303866;0.964809955;0.590798487
1;0;0.977186263;0.988100142;0.144685758;0.979225611;0.165211552
0;0;0.998871505;0.92997362;0.143836878;0.99958991;0.209765744
0;0;0.972397864;0.866038083;0.300701312;0.946958112;0.139934715
1;0;0.591608644;0.587741601;0.660193404;0.007700866;0.577653642
0;0;0.999859214;0.997872375;0.00332577;0.99995842;0.886176726
0;0;0.945391417;0.891191155;0.245238609;0.714664055;0.815347831
0;0;0.999885261;0.998240955;0.003506795;0.999167645;0.335524576
0;0;0.999992788;0.999930196;5.88e-05;0.99990099;0.869149683
0;0;0.894092679;0.817629473;0.176499851;0.825414419;0.829775534
1;0;0.707554042;0.705088087;0.177747617;0.307685607;0.605719503
0;0;0.999782264;0.998357201;0.003900573;0.999901369;0.851345686
0;0;0.732537866;0.829040502;0.628436447;0.43760757;0.466007882
0;0;0.883558333;0.642007025;0.501717054;0.384085835;0.127329674
0;0;0.979786336;0.812290493;0.335378983;0.980443667;0.799869243
0;0;0.95015049;0.505897987;0.511291673;0.580656814;0.267899081
0;0;0.975834608;0.983687744;0.050795796;0.984789346;0.951745973
0;0;0.978965461;0.89689609;0.194674195;0.980255097;0.516139516
0;0;0.999889255;0.999658791;0.00144444;0.999939328;0.69572489
0;0;0.519822955;0.789258807;0.837348848;0.221227191;0.657845875
0;0;0.938391089;0.623775111;0.324990463;0.683730166;0.232546802
1;0;0.993645906;0.991933985;0.111989692;0.995418453;0.853923857
0;0;0.997088134;0.991075678;0.010997083;0.997093637;0.36135222
0;0;0.999275148;0.994995221;0.006720741;0.999484935;0.659215929
0;0;0.681576908;0.793652406;0.240096186;0.745773948;0.937578661
0;0;0.999407411;0.981711195;0.083860996;0.999281505;0.199069461
1;0;0.997496188;0.899887554;0.049073549;0.835258066;0.225537793
0;0;0.999749303;0.985181092;0.169774537;0.998788458;0.082725307
1;0;0.960379541;0.973870757;0.140220767;0.984837016;0.843690782
1;0;0.996583045;0.886318151;0.348439735;0.399567844;0.500398908
0;0;0.998180807;0.988263493;0.008760266;0.644436732;0.366430427
1;0;0.998765409;0.987092217;0.050022627;0.987070315;0.581644285
1;0;0.829957724;0.533884094;0.580126598;0.394799151;0.688201205
0;0;0.88314873;0.799698855;0.437786376;0.872666539;0.583954925
0;0;0.974001527;0.955530109;0.35601834;0.218085722;0.67943673
0;0;0.986618221;0.663064978;0.382954075;0.991071007;0.44545227
0;0;0.991166592;0.947335952;0.061112618;0.995758372;0.390217311
0;0;0.969968677;0.948098071;0.210996441;0.687449769;0.414068889
0;0;0.778803587;0.499446677;0.456370075;0.424758843;0.468260405
1;0;0.713220477;0.432972206;0.533425287;0.021474447;0.208278782
0;0;0.996174276;0.995675979;0.022981702;0.870415893;0.910561017
1;0;0.844230831;0.44576921;0.841105532;0.795671634;0.597394909
0;0;0.999871492;0.997621874;0.009317779;0.999879094;0.514192885
1;0;0.77299881;0.521551515;0.731542194;0.597436634;0.606696966
1;0;0.965625584;0.919401298;0.176300103;0.974930584;0.502320834
1;1;0.991294086;0.989174318;0.009917086;0.842286555;0.666165814
1;1;0.897905529;0.929981317;0.0291337;0.839562079;0.814942229
1;1;0.999916315;0.999932909;3.02e-05;0.999826834;0.300096434
1;1;0.998870671;0.999747778;0.000267856;0.925068699;0.436072242
0;1;0.633002281;0.888021758;0.247734825;0.447317828;0.765288545
0;1;0.643041909;0.5998114;0.214714065;0.567308047;0.590735014
1;1;0.739096642;0.849005587;0.178327166;0.720628551;0.887588683
0;1;0.749401033;0.919391916;0.202275086;0.711883122;0.578052106
1;1;0.999471009;0.999232536;0.000366059;0.999491542;0.239441561
1;1;0.661129415;0.766825969;0.339033788;0.464521007;0.387479235
1;1;0.999702752;0.999481762;0.000332544;0.998774552;0.487137546
1;1;0.819319725;0.863674852;0.149017584;0.584304983;0.297078027
1;1;0.919098258;0.951663927;0.053247762;0.942354709;0.073652752
0;1;0.986855149;0.994409659;0.004234496;0.958218186;0.805478754
1;1;0.797214627;0.909237638;0.150157771;0.798895331;0.993857575
0;1;0.789540112;0.85643497;0.33999787;0.842356834;0.595657712
1;1;0.981619835;0.969197888;0.034337465;0.898711419;0.703401157
1;1;0.634360373;0.800040384;0.312650937;0.474040643;0.584897749
0;1;0.889221311;0.944340523;0.519212751;0.884341655;0.563812021
0;1;0.787815034;0.891717874;0.124346527;0.770456479;0.231719635
1;1;0.565979838;0.763862591;0.246962468;0.347255501;0.649473341
1;1;0.731974721;0.855820627;0.316087287;0.776859102;0.781039033
1;1;0.997892201;0.998382867;0.203634244;0.878073592;0.373252737
1;1;0.901904285;0.970935046;0.030081295;0.69846571;0.927412212
1;1;0.999817193;0.999578035;0.000779098;0.998319092;0.425819779
0;1;0.9233132;0.904684433;0.652217493;0.762177017;0.451141205
1;1;0.994030893;0.976206529;0.018096403;0.653240895;0.204065535
1;1;0.996834695;0.982818268;0.009377688;0.997264076;0.296833696
0;1;0.999892354;0.999769955;0.001309625;0.978283166;0.104966481
1;1;0.999875188;0.999968537;1.86e-05;0.999950349;0.622927092
1;1;0.978872478;0.990203702;0.005462366;0.8265862;0.769191008
1;1;0.999456108;0.999710701;0.000230372;0.990679828;0.396112685
1;1;0.701439619;0.828332072;0.268732731;0.699997587;0.593632914
1;1;0.997066915;0.999222322;0.001648911;0.832436965;0.748658309
1;1;0.995960176;0.919874402;0.024006946;0.971714406;0.353558809
1;1;0.987804413;0.990788631;0.003845575;0.373717648;0.18058187
1;1;0.993979692;0.999329926;0.002852566;0.99702054;0.21280834
0;1;0.999375999;0.999588853;0.000287963;0.985207447;0.758404356
1;1;0.630246341;0.561748773;0.529193933;0.587506271;0.669288903
0;1;0.811516643;0.969589012;0.131761544;0.777598349;0.446555337
1;1;0.986580968;0.98984683;0.003139883;0.969565804;0.392811089
