Actual;Prediction;SHAP Supporting Fidelity;SHAP Contrary Fidelity;LIME Supporting Fidelity;LIME Contrary Fidelity
19.0;18.319643;1.0;0.0;1.0;0.0
29.8;31.80293;1.0;0.0;1.0;0.0
44.8;46.386494;1.0;0.0;1.0;0.0
23.6;30.722645;1.0;0.0;1.0;0.0
10.8;11.114841;1.0;0.0;1.0;0.0
18.4;17.71233;1.0;0.0;1.0;0.0
27.1;25.655876;1.0;0.0;1.0;0.0
19.4;13.622972;1.0;0.0;1.0;0.0
27.5;21.552996;1.0;0.0;1.0;0.0
26.4;26.815815;1.0;0.0;1.0;0.0
21.4;22.79539;1.0;0.0;1.0;0.0
16.6;22.393932;1.0;0.0;1.0;0.0
23.1;19.155788;1.0;0.0;1.0;0.0
27.0;26.7795;1.0;0.0;1.0;0.0
13.0;11.962245;1.0;0.0;1.0;0.0
8.3;5.358249;1.0;0.0;1.0;0.0
16.8;15.02461;1.0;0.0;1.0;0.0
50.0;43.14842;1.0;0.0;1.0;0.0
11.9;32.29303;1.0;0.0;1.0;0.0
7.5;6.4457455;1.0;0.0;1.0;0.0
14.5;13.36283;1.0;0.0;1.0;0.0
19.2;22.20674;1.0;0.0;1.0;0.0
23.8;23.35783;1.0;0.0;1.0;0.0
30.8;28.778551;1.0;0.0;1.0;0.0
22.6;23.966032;1.0;0.0;1.0;0.0
22.4;19.801584;1.0;0.0;1.0;0.0
33.0;32.727734;1.0;0.0;1.0;0.0
15.4;14.028237;1.0;0.0;1.0;0.0
21.7;25.45797;1.0;0.0;1.0;0.0
20.3;22.789852;1.0;0.0;1.0;0.0
19.4;17.970911;1.0;0.0;1.0;0.0
24.5;22.021406;1.0;0.0;1.0;0.0
17.8;20.93055;1.0;0.0;1.0;0.0
14.1;13.887883;1.0;0.0;1.0;0.0
23.1;23.384779;1.0;0.0;1.0;0.0
18.8;19.283815;1.0;0.0;1.0;0.0
13.8;19.581163;1.0;0.0;1.0;0.0
37.2;35.4268;1.0;0.0;1.0;0.0
27.1;16.546425;1.0;0.0;1.0;0.0
