Actual;Prediction;Prediction Probability;SHAP Precision;SHAP Recall;SHAP Single Explanation Precision;SHAP Single Explanation Recall;LIME Precision;LIME Recall;LIME Single Explanation Precision;LIME Single Explanation Recall;SHAP Supporting Fidelity;SHAP Contrary Fidelity;LIME Supporting Fidelity;LIME Contrary Fidelity
0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.7142857142857143;1.0;0.5428571428571429;0.7937121261484329;0.5890216579536969;1.0;0.1102362204724409
1;0;0.6965174129353234;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.5;0.9291629464285714;0.40913125;0.9291629464285714;0.7999471726190476
0;0;0.5921908893709328;0.0;1.0;0.0;1.0;1.0;1.0;0.95;0.4666666666666666;0.7008662089819784;0.6982185066908508;0.8238295700982268;0.4671581539601844
0;0;0.6965174129353234;0.3333333333333333;1.0;0.33333333333333337;1.0;0.0;1.0;0.0;0.5;0.919170620138362;0.0535504201680672;0.9;0.6720115546218487
0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5714285714285714;0.95;0.5428571428571428;0.8671012499524048;0.5194542464900236;1.0;0.1677483069977426
0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5714285714285714;0.95;0.5285714285714286;0.8388794008995305;0.5138022959878056;1.0;0.1182491534988713
0;0;0.8571428571428571;1.0;1.0;1.0;1.0;1.0;0.7777777777777778;0.9;0.3666666666666667;0.2369791666666667;0.5140202101139602;1.0;0.0
1;0;0.8487584650112867;1.0;1.0;1.0;1.0;1.0;1.0;0.95;0.6599999999999999;0.490763749416537;0.4688511922491211;1.0;0.0
0;0;0.930648769574944;1.0;1.0;1.0;1.0;1.0;0.8888888888888888;1.0;0.32222222222222224;0.7637218507262029;0.7027549299405561;1.0;0.0
0;0;0.9532908704883228;1.0;1.0;1.0;1.0;1.0;0.7;1.0;0.39;0.7701497568131178;0.4579691896877416;1.0;0.1365138413476629
0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;1.0;0.41000000000000003;0.6074743543659562;0.5138297796709737;1.0;0.1516708612975392
0;0;0.8769230769230769;1.0;1.0;1.0;1.0;1.0;0.75;1.0;0.35;0.9025908014750808;0.5558509886447488;1.0;0.0
0;0;0.9532908704883228;1.0;1.0;1.0;1.0;1.0;0.8;1.0;0.41000000000000003;0.8780699789010296;0.3647769687743559;1.0;0.1848539119264971
0;0;0.8571428571428571;1.0;1.0;1.0;1.0;1.0;0.7777777777777778;1.0;0.4666666666666666;0.7206514648977336;0.6139846494025598;1.0;0.0
0;0;0.8472222222222222;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.45;0.8136703176499375;0.2975271277601097;1.0;0.0
0;0;0.8769230769230769;1.0;1.0;1.0;1.0;1.0;0.5;0.95;0.3125;0.6672515347240406;0.7230756838820127;1.0;0.0
0;0;0.9532908704883228;1.0;1.0;1.0;1.0;1.0;0.7;0.95;0.4;0.8016437395455608;0.4715885033208257;1.0;0.2050480070312445
0;0;0.6965174129353234;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.5;1.0;0.2817407189105302;0.9611006289308176;0.5505270083188865
1;0;0.8487584650112867;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6399999999999999;0.7759348859149734;0.4807238412399036;1.0;0.0
0;0;0.9532908704883228;1.0;1.0;1.0;1.0;1.0;0.6;1.0;0.38;0.7846135214151185;0.3864270456582858;1.0;0.1186948975859448
0;0;0.9532908704883228;1.0;1.0;1.0;1.0;1.0;0.6;1.0;0.41000000000000003;0.680003838828253;0.4958186481838867;1.0;0.1186948975859448
0;0;0.8769230769230769;1.0;1.0;1.0;1.0;1.0;0.75;1.0;0.45;0.6699346405228759;0.4134859615446734;1.0;0.0
0;0;0.930648769574944;1.0;1.0;1.0;1.0;1.0;0.6666666666666666;0.95;0.32222222222222224;0.4;0.7773025852352775;1.0;0.0
1;0;0.65625;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.76;0.7509937061915857;0.5545136022857916;0.9119961302805546;0.2389343422086435
